Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Create Safety Sheet,CTET-4526,81250,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,14/Aug/24 11:49 AM,15/Aug/24 3:35 PM,21/Aug/24 9:16 AM,15/Aug/24 3:35 PM,14/Aug/24 12:00 AM,0,,,,,Ardalan Abolfazli,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,CTET-3003,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c8f1312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077jr:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_99981649_*|*_10000_*:*_1_*:*_530_*|*_10001_*:*_1_*:*_0,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,15/Aug/24 3:35 PM
Support BM FW Testing: August RC,CTET-4525,81248,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,14/Aug/24 11:36 AM,20/Aug/24 3:41 PM,21/Aug/24 9:16 AM,20/Aug/24 3:41 PM,,0,,,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26bd44c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i076z7:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,3_*:*_2_*:*_533063937_*|*_10000_*:*_1_*:*_43625_*|*_10001_*:*_2_*:*_7358,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,20/Aug/24 3:41 PM
"Save all tests from X-Ray in CSV form, keep steps",CTET-4523,81245,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,14/Aug/24 10:05 AM,21/Aug/24 9:09 AM,21/Aug/24 9:16 AM,21/Aug/24 9:09 AM,,0,,,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3019631e,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i0752j:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_170064210_*|*_10000_*:*_1_*:*_431348141_*|*_10001_*:*_1_*:*_0,,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,21/Aug/24 9:09 AM
Add nozzle change procedure,CTET-4522,81244,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 10:02 AM,16/Aug/24 8:54 AM,21/Aug/24 9:16 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7956cc5c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4269,Document 3D Printing Resources,,,,,,,,,,,,,,,,,,,,,,,2|i06rqq:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,80786,Document 3D Printing Resources,To Do,14/Aug/24 10:02 AM
Send 8/14 review and plan for 8/15 - 8/23,CTET-4521,81243,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 9:58 AM,16/Aug/24 8:54 AM,21/Aug/24 9:16 AM,16/Aug/24 8:54 AM,14/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22c51fb,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ip:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_168937374_*|*_10001_*:*_1_*:*_0,,,,,,Done,16/Aug/24 8:54 AM
Summarize Manta test findings for test coverage reduction,CTET-4520,81242,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 9:57 AM,20/Aug/24 8:36 PM,21/Aug/24 9:16 AM,20/Aug/24 8:36 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ee792aa,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077ih:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_23433662_*|*_10000_*:*_1_*:*_533312325_*|*_10001_*:*_1_*:*_0,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,20/Aug/24 8:36 PM
Test 20 Manta Boards at Celestica,CTET-4519,81241,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 9:57 AM,20/Aug/24 2:05 PM,21/Aug/24 9:16 AM,20/Aug/24 2:05 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72bbdf3a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2966,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077i9:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_332288192_*|*_10000_*:*_2_*:*_200986908_*|*_10001_*:*_2_*:*_11245,,,,78150,24-Q2-KR5.1 - Manta PCBA Tester Built & Tested,Done,20/Aug/24 2:05 PM
Summarize ALC test findings for test coverage reduction,CTET-4518,81240,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 9:57 AM,16/Aug/24 11:13 AM,21/Aug/24 9:16 AM,16/Aug/24 11:13 AM,16/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28b35e7a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077i1:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_8481062_*|*_10000_*:*_1_*:*_168889372_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,16/Aug/24 11:13 AM
Test 20 ALC Boards at Celestica,CTET-4517,81239,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,14/Aug/24 9:40 AM,16/Aug/24 11:18 AM,21/Aug/24 9:16 AM,16/Aug/24 8:51 AM,16/Aug/24 12:00 AM,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bb763b2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077ht:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_88956311_*|*_10000_*:*_1_*:*_80943217_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,16/Aug/24 8:51 AM
Read thermocouples from EOL tester,CTET-4516,81238,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,14/Aug/24 9:28 AM,16/Aug/24 3:31 PM,21/Aug/24 9:16 AM,16/Aug/24 3:31 PM,21/Aug/24 12:00 AM,0,,,,,Ardalan Abolfazli,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,CTET-3003,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e389d5a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077jq:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_194626328_*|*_10001_*:*_1_*:*_0,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,16/Aug/24 3:31 PM
Merge FW 1.11 changes to Dev,CTET-4515,81237,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,14/Aug/24 9:27 AM,15/Aug/24 3:35 PM,21/Aug/24 9:16 AM,15/Aug/24 3:35 PM,21/Aug/24 12:00 AM,0,,,,,Ardalan Abolfazli,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,CTET-3003,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9cf4711,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077jr:m,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_108503991_*|*_10001_*:*_1_*:*_0,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,15/Aug/24 3:35 PM
Implement MFG data grab over CAN,CTET-4514,81236,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,14/Aug/24 9:26 AM,15/Aug/24 3:35 PM,21/Aug/24 9:16 AM,15/Aug/24 3:35 PM,21/Aug/24 12:00 AM,0,,,,,Ardalan Abolfazli,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,CTET-3003,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75918226,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077jr:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_108428391_*|*_10000_*:*_1_*:*_101877_*|*_10001_*:*_1_*:*_0,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,15/Aug/24 3:35 PM
build one pallet for NPI 1B inverter,CTET-4511,81219,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 2:15 PM,16/Aug/24 8:22 AM,14/Aug/24 8:48 AM,16/Aug/24 8:22 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1eeb8958,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076i8:o,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_238047522_*|*_10001_*:*_1_*:*_0,,,,68003,Lab Buildout,Done,16/Aug/24 8:22 AM
BMU cycle time reduction from 1010~1150s to 875s,CTET-4507,81212,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,13/Aug/24 11:55 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ded4656,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077mv:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,To Do,13/Aug/24 11:55 AM
Charge low SOC battieres,CTET-4506,81207,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:54 AM,21/Aug/24 9:09 AM,21/Aug/24 9:16 AM,21/Aug/24 9:09 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48860594,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076i8:r,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_138420410_*|*_10000_*:*_1_*:*_546443730_*|*_10001_*:*_1_*:*_0,,,,68003,Lab Buildout,Done,21/Aug/24 9:09 AM
anchor new uline shelving.,CTET-4501,81202,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:51 AM,16/Aug/24 8:23 AM,21/Aug/24 9:16 AM,16/Aug/24 8:23 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bf53d61,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:m,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_250285201_*|*_10001_*:*_1_*:*_0,,,,68003,Lab Buildout,Done,16/Aug/24 8:23 AM
